segment,model_a,model_b,rmse_a,rmse_b,mean_diff,ci_lo,ci_hi,bootstrap_significant,wilcoxon_p,wilcoxon_significant,n
cold,2_ContentBased,6_GAEvolvedGate,1.2686338249777882,0.9625128469114654,0.3061741294834153,0.28686813466482936,0.3264452752857802,True,2.966709679548919e-163,True,6434
cold,2_ContentBased,7_SequentialGate,1.2686338249777882,0.9655724392797684,0.3031177478212992,0.2855839377165234,0.32137026492334647,True,9.423067683947346e-192,True,6434
cold,3_StaticHybrid,4_LearnedGate,0.9655724374938508,0.9595306607745043,0.006011456131338676,0.0031194129760014427,0.008859643210401398,True,0.022940513965955665,True,6434
cold,3_StaticHybrid,5_BanditGate,0.9655724374938508,1.0113568038834344,-0.0457190259443543,-0.05175690171997927,-0.04009123176802073,True,2.892754353363745e-13,True,6434
cold,3_StaticHybrid,6_GAEvolvedGate,0.9655724374938508,0.9625128469114654,0.003056379873814105,0.0004637697845791158,0.0057814168679112266,True,0.0054276977147737085,True,6434
cold,3_StaticHybrid,7_SequentialGate,0.9655724374938508,0.9655724392797684,-1.7883020310138776e-09,-2.448221841921949e-09,-1.1577528463702082e-09,True,1.3328269012361505e-12,True,6434
cold,4_LearnedGate,5_BanditGate,0.9595306607745043,1.0113568038834344,-0.05173048207569297,-0.05944889764044558,-0.044316173049377384,True,1.0095841485927366e-12,True,6434
cold,4_LearnedGate,6_GAEvolvedGate,0.9595306607745043,0.9625128469114654,-0.0029550762575245716,-0.004481960460358472,-0.0015198125020353457,True,0.9682845778325471,False,6434
cold,4_LearnedGate,7_SequentialGate,0.9595306607745043,0.9655724392797684,-0.006011457919640707,-0.008859645530958447,-0.003119414361509715,True,0.022940513965955665,True,6434
cold,5_BanditGate,6_GAEvolvedGate,1.0113568038834344,0.9625128469114654,0.0487754058181684,0.04201443552662291,0.05586023232790252,True,5.887617752044162e-16,True,6434
cold,5_BanditGate,7_SequentialGate,1.0113568038834344,0.9655724392797684,0.045719024156052265,0.04009123000393231,0.05175689990674076,True,2.892754353363745e-13,True,6434
cold,6_GAEvolvedGate,7_SequentialGate,0.9625128469114654,0.9655724392797684,-0.003056381662116136,-0.005781419119458042,-0.0004637711634802485,True,0.0054276977147737085,True,6434
power,1_CF_SVDpp,2_ContentBased,0.8616757966134105,0.9081625938177037,-0.0465852679752293,-0.055709338104060424,-0.036998990625896774,True,6.968899125366097e-30,True,11682
power,1_CF_SVDpp,3_StaticHybrid,0.8616757966134105,0.8500230821248264,0.011639583312721954,0.010118411189265241,0.013177949634786718,True,3.2325794927147944e-31,True,11682
power,1_CF_SVDpp,4_LearnedGate,0.8616757966134105,0.8431090072776444,0.01854555392515191,0.015115728328384759,0.021953200299690945,True,3.792510546866752e-15,True,11682
power,1_CF_SVDpp,5_BanditGate,0.8616757966134105,0.8500871113171581,0.011553291402021425,0.007933432568652067,0.015243309766714619,True,5.290515237502682e-13,True,11682
power,1_CF_SVDpp,6_GAEvolvedGate,0.8616757966134105,0.8430946594445826,0.018546076859000827,0.015140771834198727,0.021926471116447778,True,1.2303700160525088e-16,True,11682
power,1_CF_SVDpp,7_SequentialGate,0.8616757966134105,0.8423129287862307,0.019325190825307946,0.015402368840435533,0.02322773054013384,True,1.0730815002614532e-15,True,11682
power,2_ContentBased,3_StaticHybrid,0.9081625938177037,0.8500230821248264,0.05822485128795126,0.05023036027412364,0.06604085414875682,True,6.5057715798892456e-55,True,11682
power,2_ContentBased,4_LearnedGate,0.9081625938177037,0.8431090072776444,0.06513082190038122,0.05867011010829645,0.07145063376779595,True,4.323203289491684e-87,True,11682
power,2_ContentBased,5_BanditGate,0.9081625938177037,0.8500871113171581,0.05813855937725074,0.05063004029058399,0.06572752918035213,True,2.224808472756774e-79,True,11682
power,2_ContentBased,6_GAEvolvedGate,0.9081625938177037,0.8430946594445826,0.06513134483423014,0.05878644529520662,0.07151433104738164,True,4.498032150649409e-86,True,11682
power,2_ContentBased,7_SequentialGate,0.9081625938177037,0.8423129287862307,0.06591045880053725,0.05955337340679938,0.07216884496417654,True,1.947539365562517e-95,True,11682
power,3_StaticHybrid,4_LearnedGate,0.8500230821248264,0.8431090072776444,0.006905970612429956,0.004796034163694965,0.009007689548453159,True,0.00023223345915942954,True,11682
power,3_StaticHybrid,5_BanditGate,0.8500230821248264,0.8500871113171581,-8.629191070052711e-05,-0.0028498614628740563,0.0027263703162753354,False,0.33131834940747085,False,11682
power,3_StaticHybrid,6_GAEvolvedGate,0.8500230821248264,0.8430946594445826,0.006906493546278872,0.00492141367363875,0.008921454265917787,True,2.6087774017139235e-07,True,11682
